Timestamp,"If you had coffee today, at what time did you take your last cup of coffee?","If you had alcohol today, at what time did you have your last drink?","If you did a workout today, at what time did your last workout end?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did you do your last one?",Did you take medication that might affect your sleep?,How much did you eat in the last 3 hours before going to bed?,How would you characterize the activities you did in the last 3 hours before going to bed?,How much stress and/or anxiety do you feel now?,Is there any particular reason why you think you might or might not sleep well tonight?
9/25/2022,14,,,,1,2,0,2,1
9/26/2022,14.5,,,,1,1,0,2,0
9/27/2022,14.5,,,,1,1,0 - 4,1,0
9/28/2022,14.25,,,,1,2,0,1,0
9/29/2022,14.5,18,,,1,1,0 - 3,2,0
9/30/2022,13,18,,,1,2,0 - 3,1,0
10/1/2022,16,17,,,1,2,3,2,1
10/2/2022,14,17,,,1,2,0,1,0
10/3/2022,15,18,,,1,2,0 - 3,1,0
10/4/2022,14,,,,1,2,3,1,1
10/5/2022,14,,,,1,2,3,1,1
10/6/2022,13,,,,1,1,0 - 5,1,0
10/7/2022,11,17.5,,,1,2,0,1,0
10/8/2022,14,17,,,1,0,0 - 2 - 4,1,0
10/9/2022,15,,18.5,,1,2,0,1,0
10/10/2022,14,18,,,1,2,0 - 3,1,0
10/11/2022,15,18.5,,,1,2,0,1,0
10/12/2022,15,,16.5,,1,2,0 - 3,1,0
10/13/2022,16,,,,1,1,0 - 3,1,0
10/14/2022,13,17.5,16.5,,1,1,0 - 3,1,0
10/15/2022,16,18,,,1,2,3,0,0
10/16/2022,15,,12.5,,1,1,0,1,0
10/17/2022,14,17.5,,,1,2,0,2,0
10/18/2022,15,17,,,1,1,0,2,0
10/20/2022,14.5,17.5,,,1,2,0,1,0
10/21/2022,13,17.5,,,1,1,0,1,0
10/22/2022,14,,17.5,19,1,2,0,1,0
10/23/2022,15.5,,17.5,19.5,1,1,0,1,1
10/24/2022,14,18,,,1,2,0 - 1 - 3,0,0
10/25/2022,,17.5,11.5,,1,1,0 - 3,1,0
10/26/2022,15,,,,1,1,0,1,0
10/27/2022,14,17.5,13.5,,1,1,0,1,0
10/28/2022,12,18,,,1,2,3,1,0
10/29/2022,14,17,13,,1,1,3,2,1
10/30/2022,11.5,,,,1,1,0,1,0
10/31/2022,15,,18.25,,1,2,0,2,0
11/1/2022,15,18,,,1,2,1,2,1
11/2/2022,14,17.5,,,1,1,0,1,0
11/3/2022,14,18,,,1,1,0,1,0
11/4/2022,14,,13.5,,1,2,0,1,0
11/5/2022,15,17.5,13.5,,1,2,0,1,0
11/6/2022,13.15,19,,,1,3,3,1,1
11/7/2022,13,17.5,,,1,1,0 - 3,1,1
11/8/2022,14,,18,,1,1,0,1,0
11/9/2022,15.5,17.5,,,1,3,0 - 3,1,1
11/10/2022,14,18,,,1,2,0,0,0
11/11/2022,14.5,,17,,1,2,3,2,0
11/12/2022,15.3,,,,1,1,0 - 3,0,0
11/13/2022,11.5,17.5,14,,1,1,0,1,0
11/14/2022,14,,,,1,1,0,1,0
11/15/2022,9.5,,,,1,3,0,1,0
11/16/2022,14.5,17.5,17.5,,1,2,0,1,0
11/17/2022,14,17,,,1,2,0,0,0
11/18/2022,14,18,17,,1,2,0 - 3,1,0
11/19/2022,13.5,18.5,,20,1,1,0 - 2,0,0
11/20/2022,15,,13.5,,1,1,0,1,0
11/22/2022,14,,18,,1,2,0,2,0
,,,,,,,,,
,,,,,,,0: Relaxed,,
,,,,,,,1: Stressful,,
,,,,,,,2: Physically active,,
,,,,,,,3: Socially active,,
,,,,,,,4: Mentally active,,
,,,,,,,5: Sleepy,,